VARIABLES = "X" "Y" "p" "M"
ZONE I=  71    J=   48
 -0.50000000000000000        0.0000000000000000       0.71428571428571441        1.6329931618554518     
 -0.46670000000000000        0.0000000000000000       0.71473250088438245        1.6330760059424587     
 -0.43330000000000002        0.0000000000000000       0.71472560722087441        1.6324504131035775     
 -0.40000000000000002        0.0000000000000000       0.71473473922121755        1.6330001605482158     
 -0.36670000000000003        0.0000000000000000       0.71539267882742352        1.6327210347882224     
 -0.33329999999999999        0.0000000000000000       0.71664725329012879        1.6319644147792283     
 -0.29999999999999999        0.0000000000000000       0.71763980474604272        1.6313715203044052     
 -0.26669999999999999        0.0000000000000000       0.71857753262765667        1.6315275113501955     
 -0.23330000000000001        0.0000000000000000       0.72008078294283817        1.6305329668988522     
 -0.20000000000000001        0.0000000000000000       0.72228205113167299        1.6294249839195807     
 -0.16669999999999999        0.0000000000000000       0.72553317038200082        1.6299189615547598     
 -0.13330000000000000        0.0000000000000000       0.73057453950118878        1.6276353661021565     
 -0.10000000000000001        0.0000000000000000       0.73918014838947721        1.6220791925845623     
  -6.6669999999999993E-002   0.0000000000000000       0.75628684805991975        1.6140192271969658     
  -3.3329999999999999E-002   0.0000000000000000       0.72486210460513389        1.6467551366346416     
   0.0000000000000000        0.0000000000000000       0.70464571247261798        1.6241778646392666     
   2.5000000000000001E-002   4.4099999999999999E-003  0.83931973372370039        1.5615165720216297     
   5.0000000000000003E-002   8.8199999999999997E-003  0.97137560192552197        1.4989401156355293     
   7.4999999999999997E-002   1.3230000000000000E-002   1.0663609436430275        1.4693939017615234     
  0.10000000000000001        1.7639999999999999E-002   1.1241469546512266        1.4632017301104023     
  0.12500000000000000        2.2050000000000000E-002   1.1573730973024769        1.4637682575208912     
  0.14999999999999999        2.6460000000000001E-002   1.1760525712145642        1.4618158585707210     
  0.17499999999999999        3.0870000000000002E-002   1.1867654012213873        1.4634189202794385     
  0.20000000000000001        3.5279999999999999E-002   1.1907052207019189        1.4632855746079214     
  0.22500000000000001        3.9690000000000003E-002   1.1938164535396452        1.4637601760380725     
  0.25000000000000000        4.4100000000000000E-002   1.1930064371165328        1.4641257518270332     
  0.27500000000000002        4.8509999999999998E-002   1.1923215269987855        1.4653971158402839     
  0.29999999999999999        5.2920000000000002E-002   1.1898512121617060        1.4655206150007725     
  0.32500000000000001        5.7329999999999999E-002   1.1864738904828549        1.4676506157911537     
  0.34999999999999998        6.1740000000000003E-002   1.1797093870710142        1.4687758074200350     
  0.37500000000000000        6.6150000000000000E-002   1.1701180504235786        1.4725458918777490     
  0.40000000000000002        7.0559999999999998E-002   1.1531395164598082        1.4772393213462003     
  0.42499999999999999        7.4969999999999995E-002   1.1278292204494538        1.4873525006361696     
  0.45000000000000001        7.9380000000000006E-002   1.0745223462936828        1.5089303692951666     
  0.47499999999999998        8.3790000000000003E-002   1.2397271533111240        1.4173887613494309     
  0.50000000000000000        8.8200000000000001E-002   1.1376538753039593        1.5270110459109696     
  0.52500000000000002        8.3790000000000003E-002  0.68040318361530161        1.7461527183406911     
  0.55000000000000004        7.9380000000000006E-002  0.53916481078600276        1.8036081642224944     
  0.57499999999999996        7.4969999999999995E-002  0.48276906718413037        1.8053468576318883     
  0.59999999999999998        7.0559999999999998E-002  0.45578740748655927        1.7970530612239899     
  0.62500000000000000        6.6150000000000000E-002  0.44027438235396693        1.7948937270264782     
  0.65000000000000002        6.1740000000000003E-002  0.43039879785552876        1.7905670819931740     
  0.67500000000000004        5.7329999999999999E-002  0.42431325696227323        1.7917728484230186     
  0.69999999999999996        5.2920000000000002E-002  0.42050143733101297        1.7893750388031098     
  0.72499999999999998        4.8509999999999998E-002  0.41757898969871565        1.7911199035398728     
  0.75000000000000000        4.4100000000000000E-002  0.41593633749802750        1.7903557090970965     
  0.77500000000000002        3.9690000000000003E-002  0.41460775826495322        1.7947919476473757     
  0.80000000000000004        3.5279999999999999E-002  0.41406751597436087        1.7930623804943524     
  0.82499999999999996        3.0870000000000002E-002  0.41415221379990064        1.7943297722458340     
  0.84999999999999998        2.6460000000000001E-002  0.41469404172788871        1.7926090293976293     
  0.87500000000000000        2.2050000000000000E-002  0.41553253050865713        1.7908554786074300     
  0.90000000000000002        1.7639999999999999E-002  0.41739993013175064        1.7907295851638527     
  0.92500000000000004        1.3230000000000000E-002  0.42134540699429524        1.7887347344262283     
  0.94999999999999996        8.8199999999999997E-003  0.43002515565732208        1.7823118013705619     
  0.97499999999999998        4.4099999999999999E-003  0.41181088968805923        1.8036612357344579     
   1.0000000000000000        0.0000000000000000       0.41578869770951299        1.7640318580409811     
   1.0329999999999999        0.0000000000000000       0.50998641219920759        1.6873733732888565     
   1.0669999999999999        0.0000000000000000       0.59374347915799797        1.6447045912395897     
   1.1000000000000001        0.0000000000000000       0.64734966267427740        1.6267157229952813     
   1.1330000000000000        0.0000000000000000       0.67819949956573711        1.6232463710343383     
   1.1670000000000000        0.0000000000000000       0.69169953131353568        1.6278176638849515     
   1.2000000000000000        0.0000000000000000       0.70044735194803309        1.6350355368133120     
   1.2330000000000001        0.0000000000000000       0.70589865401796392        1.6225800734297224     
   1.2669999999999999        0.0000000000000000       0.70830895566042962        1.6257828857966543     
   1.3000000000000000        0.0000000000000000       0.70732357731677142        1.6276835878402747     
   1.3330000000000000        0.0000000000000000       0.71156020246843077        1.6350806636866342     
   1.3670000000000000        0.0000000000000000       0.70855807321151842        1.6283911293346034     
   1.3999999999999999        0.0000000000000000       0.70717442959500498        1.6282769563436617     
