sg6050
FROM Phillipe Guigere Sept 97
     7                                                                          No of Reynolds no sets included
     0.15       0.2        0.35       0.5        0.75       1.0        1.5      Reynolds numbers in millions
    12         12         12         12         12         12         12        Stall angle (deg)
     0          0          0          0          0          0          0        Gormont dynamic stall parameter (upper loop)
     0.7        0.7        0.7        0.7        0.7        0.7        0.7      Gormont dynamic stall parameter (lower loop)
     0.15       0.15       0.15       0.15       0.15       0.15       0.15     "Airfoil Thickness ratio, Thickness/Chord"
    -3.5       -3.5       -3.5       -3.5       -3.5       -3.5       -3.5      zero lift angle
     6.308      6.308      6.308      6.308      6.308      6.308      6.308    Cn slope
     1.3        1.35       1.35       1.35       1.35       1.35       1.35     Cn at stall
    -0.9       -0.9       -0.9       -0.9       -0.9       -0.9       -0.9      Cn at negative stall
     0.01       0.01       0.01       0.01       0.01       0.01       0.01     Alpha for Cd min1
     0.016      0.013      0.009      0.008      0.007      0.007      0.006    Cd min
   6.0  1.0402   0.01751  1.0441   0.01464  1.0498   0.01134  1.0554   0.01005  1.0635   0.00896  1.0686   0.00839  1.0748   0.00777
   7.0  1.1375   0.01823  1.1415   0.01551  1.1491   0.01234  1.1570   0.01107  1.1677   0.00999  1.1729   0.00949  1.1819   0.00882
   8.0  1.2273   0.01923  1.2292   0.01671  1.2382   0.01368  1.2508   0.01237  1.2634   0.01137  1.2700   0.01092  1.2776   0.01043
   9.0  1.3002   0.02071  1.2984   0.01840  1.3080   0.01547  1.3245   0.01426  1.3401   0.01339  1.3481   0.01298  1.3562   0.01259
  10.0  1.3365   0.02301  1.3317   0.02099  1.3476   0.01836  1.3630   0.01728  1.3791   0.01640  1.3905   0.01584  1.4067   0.01511
  11.0  1.3433   0.02724  1.3472   0.02550  1.3649   0.02335  1.3844   0.02202  1.4083   0.02053  1.4247   0.01957  1.4476   0.01832
  12.0  1.3325   0.03413  1.3412   0.03261  1.3710   0.03001  1.3988   0.02798  1.4293   0.02584  1.4503   0.02445  1.4797   0.02259
  13.0  1.3052   0.04401  1.3213   0.04234  1.3700   0.03816  1.4050   0.03527  1.4422   0.03236  1.4674   0.03047  1.5004   0.02813
  14.0  1.2736   0.05667  1.3004   0.05423  1.3620   0.04836  1.4036   0.04442  1.4447   0.04071  1.4718   0.03839  1.5098   0.03526
  15.0  1.2458   0.07106  1.2733   0.06870  1.3450   0.06110  1.3892   0.05634  1.4351   0.05159  1.4710   0.05642  1.5168   0.05308
  16.0  1.2458   0.10000  1.2733   0.10000  1.3450   0.10000  1.3892   0.10000  1.4351   0.10000  1.4710   0.10000  1.5168   0.10000
  20.0  1.2458   0.17500  1.2733   0.17500  1.3450   0.17500  1.3892   0.17500  1.4351   0.17500  1.4710   0.17500  1.5168   0.17500
  25.0  1.2458   0.27500  1.2733   0.27500  1.3450   0.27500  1.3892   0.27500  1.4351   0.27500  1.4710   0.27500  1.5168   0.27500
  27.5  1.2458   0.36300  1.2733   0.36300  1.3450   0.36300  1.3892   0.36300  1.4351   0.36300  1.4710   0.36300  1.5168   0.36300
  40.0  1.3000   0.90000  1.3000   0.90000  1.3000   0.90000  1.3000   0.90000  1.3000   0.90000  1.3000   0.90000  1.3000   0.90000
  45.0  1.2850   1.07500  1.2850   1.07500  1.2850   1.07500  1.2850   1.07500  1.2850   1.07500  1.2850   1.07500  1.2850   1.07500
  50.0  1.2300   1.27500  1.2300   1.27500  1.2300   1.27500  1.2300   1.27500  1.2300   1.27500  1.2300   1.27500  1.2300   1.27500
  55.0  1.1500   1.37500  1.1500   1.37500  1.1500   1.37500  1.1500   1.37500  1.1500   1.37500  1.1500   1.37500  1.1500   1.37500
  60.0  1.0500   1.52000  1.0500   1.52000  1.0500   1.52000  1.0500   1.52000  1.0500   1.52000  1.0500   1.52000  1.0500   1.52000
  65.0  0.9300   1.63000  0.9300   1.63000  0.9300   1.63000  0.9300   1.63000  0.9300   1.63000  0.9300   1.63000  0.9300   1.63000
  70.0  0.7750   1.75000  0.7750   1.75000  0.7750   1.75000  0.7750   1.75000  0.7750   1.75000  0.7750   1.75000  0.7750   1.75000
  80.0  0.4750   1.80000  0.4750   1.80000  0.4750   1.80000  0.4750   1.80000  0.4750   1.80000  0.4750   1.80000  0.4750   1.80000
  85.6  0.1070   1.80000  0.1070   1.80000  0.1070   1.80000  0.1070   1.80000  0.1070   1.80000  0.1070   1.80000  0.1070   1.80000
  95.6 -0.1350   1.80000 -0.1350   1.80000 -0.1350   1.80000 -0.1350   1.80000 -0.1350   1.80000 -0.1350   1.80000 -0.1350   1.80000
 105.6 -0.3730   1.70000 -0.3730   1.70000 -0.3730   1.70000 -0.3730   1.70000 -0.3730   1.70000 -0.3730   1.70000 -0.3730   1.70000
 115.6 -0.5850   1.60000 -0.5850   1.60000 -0.5850   1.60000 -0.5850   1.60000 -0.5850   1.60000 -0.5850   1.60000 -0.5850   1.60000
 125.6 -0.7510   1.50000 -0.7510   1.50000 -0.7510   1.50000 -0.7510   1.50000 -0.7510   1.50000 -0.7510   1.50000 -0.7510   1.50000
 135.6 -0.8640   1.37310 -0.8640   1.37310 -0.8640   1.37310 -0.8640   1.37310 -0.8640   1.37310 -0.8640   1.37310 -0.8640   1.37310
 145.6 -0.9020   1.24780 -0.9020   1.24780 -0.9020   1.24780 -0.9020   1.24780 -0.9020   1.24780 -0.9020   1.24780 -0.9020   1.24780
 155.6 -0.4090   1.12780 -0.4090   1.12780 -0.4090   1.12780 -0.4090   1.12780 -0.4090   1.12780 -0.4090   1.12780 -0.4090   1.12780
 165.6  0.0840   1.03510  0.0840   1.03510  0.0840   1.03510  0.0840   1.03510  0.0840   1.03510  0.0840   1.03510  0.0840   1.03510
 175.6  0.5780   0.98610  0.5780   0.98610  0.5780   0.98610  0.5780   0.98610  0.5780   0.98610  0.5780   0.98610  0.5780   0.98610
 180.0  0.2910   0.98080  0.2910   0.98080  0.2910   0.98080  0.2910   0.98080  0.2910   0.98080  0.2910   0.98080  0.2910   0.98080
