55
-180.00    0.000   0.0100
-170.00    0.886   0.0225
-160.00    0.753   0.1819
-150.00    0.751   0.4264
-140.00    0.749   0.7265
-130.00    0.699   1.0465
-120.00    0.590   1.3481
-110.00    0.426   1.5953
-100.00    0.222   1.7588
 -90.00    0.000   1.8194
 -80.00   -0.222   1.7588
 -70.00   -0.426   1.5953
 -60.00   -0.590   1.3481
 -50.00   -0.699   1.0465
 -40.00   -0.749   0.7265
 -30.00   -0.751   0.4264
 -20.00   -0.753   0.1819
 -10.00   -0.839   0.0259
  -6.00   -0.215   0.0128
  -5.00   -0.101   0.0110
  -4.00    0.013   0.0093
  -3.00    0.102   0.0079
  -2.00    0.211   0.0079
  -1.00    0.320   0.0080
   0.00    0.429   0.0080
   1.00    0.536   0.0081
   2.00    0.643   0.0083
   3.00    0.749   0.0084
   4.00    0.855   0.0087
   5.00    0.960   0.0089
   6.00    1.065   0.0092
   7.00    1.137   0.0132
   8.00    1.229   0.0147
   9.00    1.317   0.0159
  10.00    1.299   0.0262
  11.00    1.320   0.0365
  12.00    1.292   0.0527
  13.00    1.265   0.0688
  20.00    1.076   0.1819
  30.00    1.073   0.4264
  40.00    1.070   0.7265
  50.00    0.998   1.0465
  60.00    0.843   1.3481
  70.00    0.608   1.5953
  80.00    0.317   1.7588
  90.00    0.000   1.8194
 100.00   -0.222   1.7588
 110.00   -0.426   1.5953
 120.00   -0.590   1.3481
 130.00   -0.699   1.0465
 140.00   -0.749   0.7265
 150.00   -0.751   0.4264
 160.00   -0.753   0.1819
 170.00   -0.886   0.0225
 180.00    0.000   0.0100
