VARIABLES = "X" "Y" "p" "u" "v"
ZONE I=  65    J=   57
 -0.50000000000000000        0.0000000000000000       0.17857142857142860        0.0000000000000000        0.0000000000000000     
 -0.46153846380000002        0.0000000000000000       0.18652515527854049        0.0000000000000000        0.0000000000000000     
 -0.42307692769999999        0.0000000000000000       0.20402784395337575        0.0000000000000000        0.0000000000000000     
 -0.38461539150000001        0.0000000000000000       0.20441885246953265        0.0000000000000000        0.0000000000000000     
 -0.34615385529999998        0.0000000000000000       0.20119170958376639        0.0000000000000000        0.0000000000000000     
 -0.30769228939999999        0.0000000000000000       0.19830520727721360        0.0000000000000000        0.0000000000000000     
 -0.26923075320000001        0.0000000000000000       0.19679828876403740        0.0000000000000000        0.0000000000000000     
 -0.23076921700000000        0.0000000000000000       0.19655558722057739        0.0000000000000000        0.0000000000000000     
 -0.19230768079999999        0.0000000000000000       0.19854057762056534        0.0000000000000000        0.0000000000000000     
 -0.15384614469999999        0.0000000000000000       0.20214835371900067        0.0000000000000000        0.0000000000000000     
 -0.11538460110000000        0.0000000000000000       0.20903105480383136        0.0000000000000000        0.0000000000000000     
  -7.6923057439999998E-002   0.0000000000000000       0.21739408059488871        0.0000000000000000        0.0000000000000000     
  -3.8461521270000000E-002   0.0000000000000000       0.22795798539362355        0.0000000000000000        0.0000000000000000     
   1.8626451489999999E-008   0.0000000000000000       0.24350082616934857        0.0000000000000000        0.0000000000000000     
   2.6315789669999999E-002   4.6421056610000001E-003  0.26643617775925932        0.0000000000000000        0.0000000000000000     
   5.2631579339999998E-002   9.2842113230000006E-003  0.27427777584029961        0.0000000000000000        0.0000000000000000     
   7.8947365280000001E-002   1.3926316050000000E-002  0.28109329182961595        0.0000000000000000        0.0000000000000000     
  0.10526315870000000        1.8568422649999999E-002  0.28600527790618446        0.0000000000000000        0.0000000000000000     
  0.13157895210000001        2.3210527379999998E-002  0.28950901916296456        0.0000000000000000        0.0000000000000000     
  0.15789473060000001        2.7852632110000001E-002  0.29185831332970880        0.0000000000000000        0.0000000000000000     
  0.18421052399999999        3.2494738699999998E-002  0.29331625572517628        0.0000000000000000        0.0000000000000000     
  0.21052631740000000        3.7136845289999998E-002  0.29412067132382846        0.0000000000000000        0.0000000000000000     
  0.23684211080000001        4.1778948160000003E-002  0.29439874935571275        0.0000000000000000        0.0000000000000000     
  0.26315790410000001        4.6421054750000003E-002  0.29416864067892856        0.0000000000000000        0.0000000000000000     
  0.28947368260000000        5.1063157620000001E-002  0.29339465011545829        0.0000000000000000        0.0000000000000000     
  0.31578946110000000        5.5705264210000001E-002  0.29194543375392357        0.0000000000000000        0.0000000000000000     
  0.34210526940000002        6.0347370800000001E-002  0.28958554980053602        0.0000000000000000        0.0000000000000000     
  0.36842104790000002        6.4989477399999995E-002  0.28578329293964283        0.0000000000000000        0.0000000000000000     
  0.39473685619999999        6.9631583989999996E-002  0.27952318834472978        0.0000000000000000        0.0000000000000000     
  0.42105263469999998        7.4273690579999996E-002  0.26745743799214683        0.0000000000000000        0.0000000000000000     
  0.44736841319999998        7.8915789720000004E-002  0.24972589540427803        0.0000000000000000        0.0000000000000000     
  0.47368422150000000        8.3557896320000005E-002  0.21088635192211780        0.0000000000000000        0.0000000000000000     
  0.50000000000000000        8.8200002910000005E-002  0.16500746611100994        0.0000000000000000        0.0000000000000000     
  0.52631580830000002        8.3557896320000005E-002  0.14741219644615572        0.0000000000000000        0.0000000000000000     
  0.55263155700000000        7.8915797169999996E-002  0.15488165454386019        0.0000000000000000        0.0000000000000000     
  0.57894736530000002        7.4273690579999996E-002  0.13936104686960610        0.0000000000000000        0.0000000000000000     
  0.60526317360000004        6.9631576540000004E-002  0.13037869411894495        0.0000000000000000        0.0000000000000000     
  0.63157892230000001        6.4989477399999995E-002  0.12432554831478634        0.0000000000000000        0.0000000000000000     
  0.65789473060000003        6.0347370800000001E-002  0.12097385157426771        0.0000000000000000        0.0000000000000000     
  0.68421053890000005        5.5705264210000001E-002  0.11904364474839972        0.0000000000000000        0.0000000000000000     
  0.71052628760000003        5.1063165069999999E-002  0.11776345320713248        0.0000000000000000        0.0000000000000000     
  0.73684209590000005        4.6421054750000003E-002  0.11715932458301903        0.0000000000000000        0.0000000000000000     
  0.76315790409999995        4.1778948160000003E-002  0.11707867331208044        0.0000000000000000        0.0000000000000000     
  0.78947371239999997        3.7136837839999999E-002  0.11754365768483563        0.0000000000000000        0.0000000000000000     
  0.81578946109999995        3.2494738699999998E-002  0.11851421920104410        0.0000000000000000        0.0000000000000000     
  0.84210526939999997        2.7852632110000001E-002  0.11994041019581141        0.0000000000000000        0.0000000000000000     
  0.86842107769999999        2.3210521790000001E-002  0.12184887329071119        0.0000000000000000        0.0000000000000000     
  0.89473682639999996        1.8568424510000001E-002  0.12416174062548636        0.0000000000000000        0.0000000000000000     
  0.92105263469999998        1.3926316050000000E-002  0.12679604552237803        0.0000000000000000        0.0000000000000000     
  0.94736844300000000        9.2842066659999996E-003  0.12962610458354240        0.0000000000000000        0.0000000000000000     
  0.97368419169999998        4.6421089210000000E-003  0.13271754640855704        0.0000000000000000        0.0000000000000000     
   1.0000000000000000        0.0000000000000000       0.13593095834914387        0.0000000000000000        0.0000000000000000     
   1.0384615660000001        0.0000000000000000       0.14563726668072607        0.0000000000000000        0.0000000000000000     
   1.0769231319999999        0.0000000000000000       0.15166243357965986        0.0000000000000000        0.0000000000000000     
   1.1153845790000001        0.0000000000000000       0.15688601405154304        0.0000000000000000        0.0000000000000000     
